IRIS,Social_Housing,kmeans_class
751093603,0.2712674739028001,0
751093604,0.002856289598516,1
751093605,0.0034412124872452,1
751093606,0.0,1
751093607,0.054326295886257,1
751093608,0.0132881024499534,1
751093609,0.0093938067206779,1
751093610,0.084297347907582,1
751103701,0.0728546917881322,1
751103702,0.0755884876981783,1
751103703,0.0503431216271163,1
751103704,0.0197352090232055,1
751103705,0.0,1
751103706,0.0723450363772514,1
751103707,0.3715956869727387,0
751103708,0.0036431020565489,1
751103709,0.1103065728381206,1
751103710,0.0,1
751103711,0.0,1
751103712,0.0,1
751103801,0.0,1
751103802,0.1091391942316244,1
751103803,0.019261365552773,1
751103804,0.1142253023208476,1
751103805,0.0,1
751103806,0.0401741150305305,1
751103901,0.0652034048145545,1
751103902,0.0883775919903268,1
751103903,0.0,1
751103904,0.094209649288142,1
751103905,0.0127506339773492,1
751103906,0.0024972745154622,1
751103907,0.0484721014502922,1
751103908,0.0477332455362947,1
751103909,0.1799063370726524,0
751103910,0.0825318852696757,1
751103988,0.0,1
751104001,0.1039848720585163,1
751104002,0.4207546159515854,0
751104003,0.042429677818013,1
751104004,0.0618765844637764,1
751104005,0.0924694002407164,1
751104006,0.0776773199426981,1
751104007,0.333795908333651,0
751104008,0.1935735807253269,0
751104009,0.0047822591046607,1
751104010,0.352577176823628,0
751104011,0.0868967251587461,1
751104012,0.0,1
751104088,0.0,1
751114101,0.3368917487051233,0
751114102,0.09549702421195,1
751114103,0.125057011723109,1
751114104,0.0115352584894905,1
751114105,0.0233983425716127,1
751114106,0.0805054195567528,1
751114107,0.0,1
751114108,0.0155136073469337,1
751114109,0.1560950491154315,1
751114110,0.2047392647854864,0
751114111,0.3396567861443179,0
751114112,0.2912615163217873,0
751114113,0.0669678628329197,1
751114114,0.0,1
751114115,0.015976910100714,1
751114201,0.2250598996813546,0
751114202,0.1457331216512126,1
751114203,0.0853970048968249,1
751114204,0.0,1
751114205,0.1118181650394484,1
751114206,0.1358305534218835,1
751114207,0.155897059089568,1
751114208,0.0,1
751114209,0.0806411601859197,1
751114210,0.0548421700749954,1
751114211,0.1309316043030557,1
751114212,0.0,1
751114213,0.0985554612873454,1
751114214,0.0874292282805331,1
751114301,0.3303030348220084,0
751114302,0.1518818441499784,1
751114303,0.5893597427322559,2
751114304,0.2036907838835736,0
751114305,0.1256224706117233,1
751114306,0.096469587238372,1
751114307,0.3345455377600364,0
751114308,0.1615791056842281,1
751114309,0.07112344015558,1
751114310,0.0,1
751114311,0.0361217666087812,1
751114312,0.0,1
751114313,0.0024448646359406,1
751114314,0.3509621037785246,0
751114315,0.1035274315170887,1
751114316,0.0059763210749194,1
751114317,0.0348498337188762,1
751114318,0.0074260996015662,1
751114319,0.2013852672078577,0
751114320,0.1641143923326049,1
