IRIS,Social_Housing,kmeans_class
751062307,0.0,0
751062308,0.0343490061062128,0
751062309,0.1463114887581538,0
751062310,0.0542721482907773,0
751062311,0.0,0
751062401,0.0,0
751062402,0.063195771691078,0
751062499,0.0,0
751072501,0.0084688464389027,0
751072502,0.0053482853552426,0
751072503,0.0,0
751072504,0.0,0
751072505,0.0030571451025494,0
751072506,0.005673768100616,0
751072507,0.0,0
751072508,0.0,0
751072599,0.0,0
751072601,0.0107284180547564,0
751072602,0.0,0
751072603,0.0,0
751072604,0.0,0
751072605,0.0,0
751072606,0.0,0
751072699,0.0,0
751072701,0.0026880217859359,0
751072702,0.0,0
751072703,0.0,0
751072704,0.003441564862071,0
751072705,0.0,0
751072706,0.0345774246148617,0
751072707,0.0,0
751072801,0.0062524666443909,0
751072802,0.0081614694654993,0
751072803,0.0,0
751072804,0.0235809096830905,0
751072805,0.0014323895164481,0
751072806,0.0,0
751072807,0.0030621576763762,0
751072808,0.0,0
751072809,0.0,0
751072810,0.0,0
751072811,0.0,0
751072812,0.0,0
751072899,0.0,0
751082901,0.0052224395729566,0
751082902,0.0,0
751082903,0.0,0
751082904,0.0,0
751082905,0.0,0
751082906,0.0,0
751082907,0.0,0
751082999,0.0,0
751083001,0.0139541330990785,0
751083002,0.0067771560115864,0
751083003,0.0,0
751083004,0.018510735497427,0
751083005,0.1126176226364814,0
751083006,0.0,0
751083101,0.0,0
751083102,0.0,0
751083103,0.093867554466979,0
751083104,0.0860226252929702,0
751083105,0.0,0
751083106,0.0,0
751083107,0.1158849487508263,0
751083108,0.0307892391535151,0
751083201,0.2074001227831803,2
751083202,0.0,0
751083203,0.0,0
751083204,0.0,0
751083205,0.0330123479863596,0
751083206,0.007363523548149,0
751083207,0.0248764272097611,0
751083208,0.1675808545931625,0
751083209,0.0,0
751083210,0.0,0
751093301,0.0,0
751093302,0.0,0
751093303,0.0721002388381289,0
751093304,0.0041825180267607,0
751093305,0.0,0
751093306,0.0347843215988798,0
751093307,0.0174758685416804,0
751093308,0.1525032551865849,0
751093309,0.1899771649616118,2
751093310,0.0035436668271447,0
751093311,0.0395661628845396,0
751093401,0.2610488737342754,2
751093402,0.0,0
751093403,0.0,0
751093404,0.0,0
751093405,0.0255809662250266,0
751093406,0.0,0
