IRIS,LIBIRIS,COM,LIBCOM,DISP_TP6014,DISP_Q114,DISP_MED14,DISP_Q314,DISP_EQ14,DISP_D114,DISP_D214,DISP_D314,DISP_D414,DISP_D614,DISP_D714,DISP_D814,DISP_D914,DISP_RD14,DISP_S80S2014,DISP_GI14,DISP_PTSAC14,DISP_PBEN14,DISP_PPEN14,DISP_PPAT14,DISP_PPSOC14,DISP_PPFAM14,DISP_PPMINI14,DISP_PPLOGT14,DISP_PIMPOT14,note
911140102,Les Bords de l'Yerres,91114,Brunoy,6.467321657411363,20019.615384615383,26073.33333333333,34416.666666666664,0.5521753240367406,14334.583333333334,18453.384615384617,21391.0,23813.809523809523,28820.73809523809,32322.0,36695.875,44754.0,3.122099816876435,3.671834979165865,0.2515396934,75.3,5.4,29.4,9.6,2.3,1.4,0.4,0.4,-22.0,0
911140103,Brunoy Centre,91114,Brunoy,6.753194078280268,18134.166666666668,25674.8717948718,35224.0,0.6656248751647823,13364.761904761905,16739.23076923077,19952.0,22632.0,28860.0,32966.666666666664,38069.13043478261,47906.5,3.5845382313119076,4.232128062599061,0.284790974,74.5,3.7,28.9,13.0,2.9,1.6,0.6,0.7,-23.0,0
911140104,Les Deux Vallees,91114,Brunoy,6.84117349519474,19779.0,27022.0,37089.6,0.6406113537117903,14111.333333333334,18305.0,21117.5,23985.833333333336,31006.0,34901.333333333336,40475.55555555556,50733.46153846154,3.5952280581892713,4.323376297545573,0.2841725228,74.2,4.7,28.5,13.2,2.7,1.6,0.6,0.5,-23.3,0
911140105,Les Hauts de Brunoy,91114,Brunoy,28.277231862847582,11693.888888888889,16552.25806451613,23699.33333333333,0.7253055382323387,8878.0,10800.95238095238,12588.0,14475.483870967742,18600.47619047619,21712.4,26254.0,32988.5,3.715758053615679,4.235804733914785,0.2867989057,74.5,1.1,23.3,5.2,11.4,4.8,3.0,3.6,-15.5,0
911610101,Plaine de Balizy,91161,Chilly-Mazarin,,20344.34782608696,24915.0,31525.0,0.44875184322348144,15110.95238095238,19184.0,21247.33333333333,22901.33333333333,26638.888888888887,29769.0,33213.5,38790.66666666666,2.5670563766426113,2.8325230072994807,0.2040801727,83.0,1.7,26.3,5.7,2.7,1.8,0.5,0.3,-19.4,0
911610102,Mairie-Champs Fous-Morangis,91161,Chilly-Mazarin,20.05323868677906,13552.222222222224,18871.53846153846,25703.33333333333,0.6438855600393117,9172.222222222224,12155.416666666668,14570.0,16564.761904761905,21256.129032258064,24008.666666666668,27839.6,33516.0,3.654076317383403,4.559182774543787,0.2883613884,81.3,2.2,19.2,9.7,6.0,2.7,1.5,1.9,-18.4,0
911610103,Croix-Blanche-Cardinal-Bel Abord,91161,Chilly-Mazarin,,21050.666666666668,27010.166666666664,34162.666666666664,0.4854468379190551,15683.478260869566,19546.19047619048,22372.666666666664,24718.33333333333,29400.0,32552.0,35728.8,44226.0,2.8199101796407184,3.373028514426392,0.2324401684,72.9,4.1,31.8,10.3,1.9,1.2,0.4,0.3,-21.0,0
911610104,Domaine du Chateau,91161,Chilly-Mazarin,10.620780503869586,16659.04761904762,21619.444444444445,26477.6,0.45415377838145404,11924.0,15445.0,17948.888888888887,19797.61904761905,23349.33333333333,25290.666666666668,27965.714285714286,32291.0,2.7080677624958067,3.0086123762436263,0.2070140247,87.9,1.4,17.2,4.8,4.9,3.0,1.1,0.8,-16.2,0
911610106,Terres Blanches,91161,Chilly-Mazarin,,18238.0,24763.809523809523,31842.35,0.5493641835243442,13100.857142857143,16792.666666666668,19589.33333333333,22629.33333333333,27286.95652173913,29974.5,33980.434782608696,40047.333333333336,3.0568483341693384,3.66632318568831,0.2518571238,77.6,2.6,26.3,10.2,3.0,1.8,0.6,0.6,-19.7,0
911610107,Rue de Gravigny,91161,Chilly-Mazarin,12.951513179303612,14676.785714285716,21405.30612244898,28158.4,0.6298258108803845,11203.6,13538.076923076922,16192.666666666666,18981.90476190476,23896.0,26411.0,30141.0,36739.0,3.2792138241279587,3.711268471139768,0.2541389623,79.8,1.4,23.5,6.8,6.1,3.7,0.9,1.5,-17.6,0
911610108,Pavillons Sud,91161,Chilly-Mazarin,14.487267721954575,15679.0,21403.478260869568,29323.888888888887,0.6375080126034866,10445.0,14315.517241379312,16928.888888888887,19310.666666666668,24157.391304347828,27416.666666666668,31427.0,39547.333333333336,3.78624541247806,4.47676464038384,0.2825193459,85.1,1.8,19.8,6.9,4.8,2.4,1.1,1.3,-18.4,0
911740101,ZI Tarterets,91174,Corbeil-Essonnes,33.10649880911875,11158.75,15462.90322580645,20411.666666666668,0.5983945273112897,8371.02564102564,10067.826086956522,11811.846153846154,13225.416666666668,17018.095238095237,18919.583333333336,21569.13043478261,27392.0,3.2722394094403775,3.8229138931388578,0.2582150622,,,,,,,,,,0
911740102,Tarterets,91174,Corbeil-Essonnes,51.09204368174727,9453.333333333334,12152.85714285714,15157.916666666668,0.46940264879902843,7622.413793103448,8926.326530612245,10085.483870967742,11046.5,13087.333333333334,14425.416666666668,16078.947368421052,18153.0,2.381529065822212,2.8084755578129044,0.2030854777,,,,,,,,,,0
911740201,Tarterets,91174,Corbeil-Essonnes,60.29839883551674,8594.864864864865,11126.07142857143,14457.0,0.5268827521708463,6059.04761904762,7889.5,9016.559139784946,10224.444444444443,12204.666666666666,13736.666666666666,15754.666666666666,18492.0,3.0519647909462426,3.4215027859524847,0.2347810289,,,,,,,,,,0
911740202,Tarterets,91174,Corbeil-Essonnes,26.734241368387718,11832.0,16537.0,22083.2,0.6198947813992864,8450.833333333334,10971.951219512195,12863.888888888889,14570.357142857143,18395.2,20507.14285714285,23778.57142857143,28446.5,3.366117739867863,3.8015493165774825,0.2551263728,80.5,1.6,15.6,4.2,11.7,5.8,3.2,2.8,-13.6,0
911740203,Coquibus Art de vivre,91174,Corbeil-Essonnes,13.288340702815916,15568.0,21032.4,27779.0,0.5805804378007264,10711.458333333334,14227.222222222224,16737.4358974359,18913.809523809523,23913.846153846152,26445.23809523809,29568.0,36292.38095238096,3.3881829927341944,3.660175014803448,0.2467270061,74.3,2.4,28.3,7.0,5.3,2.9,1.4,1.0,-17.3,0
911740301,Moulin Galant Papeterie,91174,Corbeil-Essonnes,21.21417797888386,13237.037037037036,18451.190476190477,24422.0,0.6061919406986831,9252.592592592591,11957.307692307691,14359.5,16291.632653061224,20622.5,23138.214285714286,26088.0,30802.416666666664,3.329057921703627,3.832465180109701,0.2518736509,81.0,1.5,19.1,4.8,9.0,3.9,2.5,2.6,-15.4,0
911740302,Ermitage,91174,Corbeil-Essonnes,27.75704105870377,11792.0,16575.238095238095,23410.416666666668,0.7009502125948058,8650.0,10793.333333333334,12549.0,14542.424242424244,19252.666666666668,21880.0,24859.444444444445,29769.444444444445,3.44155427103404,4.092559356640311,0.2730346484,71.5,2.4,25.3,5.7,10.0,4.3,2.9,2.8,-14.9,0
